id_commande,id_client,date_commande,produit,quantite,prix_unitaire
1193,98,2024-08-09,Écran 4K,,850.99$
1194,18,2024-09-27,Clavier Mécanique,3.0,150.25$
1195,3,2024-10-06,Écran 4K,1.0,850.99$
1196,54,2024-10-10,Webcam HD,3.0,99.99$
1197,37,2025-04-29,Écran 4K,1.0,850.99$
1198,54,2025-03-15,Écran 4K,1.0,850.99$
1199,58,2024-03-31,Laptop Pro,1.0,1200.50$
1200,79,2024-04-07,Écran 4K,1.0,850.99$
1201,82,2024-03-28,Clavier Mécanique,1.0,150.25$
1202,36,2023-07-01,Écran 4K,1.0,850.99$
1203,42,2023-11-12,Écran 4K,1.0,850.99$
1204,80,2024-06-05,Laptop Pro,1.0,1200.50$
1205,73,2025-04-19,Souris Gamer,3.0,75.00$
1206,33,2024-04-22,Clavier Mécanique,1.0,150.25$
1207,37,2025-01-09,Clavier Mécanique,1.0,150.25$
1208,95,2024-07-19,Clavier Mécanique,1.0,150.25$
1209,52,2023-12-11,Écran 4K,,850.99$
1210,75,2025-04-14,Souris Gamer,1.0,75.00$
1211,62,2024-06-22,Webcam HD,2.0,99.99$
1212,16,2023-10-22,Clavier Mécanique,,150.25$
1213,35,2025-01-28,Webcam HD,2.0,99.99$
1214,46,2025-03-10,Webcam HD,1.0,99.99$
1215,8,2023-08-17,Laptop Pro,1.0,1200.50$
1216,78,2024-02-27,Clavier Mécanique,1.0,150.25$
1217,38,2025-06-15,Laptop Pro,1.0,1200.50$
1218,79,2024-04-19,Webcam HD,1.0,99.99$
1219,14,2024-09-03,Webcam HD,2.0,99.99$
1220,12,2023-12-08,Clavier Mécanique,1.0,150.25$
1221,61,2024-02-11,Clavier Mécanique,2.0,150.25$
1222,22,2024-08-08,Clavier Mécanique,3.0,150.25$
1223,84,2025-03-25,Écran 4K,,850.99$
1224,9,2024-05-27,Souris Gamer,1.0,75.00$
1225,90,2024-05-11,Webcam HD,1.0,99.99$
1226,3,2024-08-22,Clavier Mécanique,3.0,150.25$
1227,38,2023-12-31,Laptop Pro,3.0,1200.50$
1228,92,2024-12-25,Laptop Pro,1.0,1200.50$
1229,84,2024-04-09,Webcam HD,1.0,99.99$
1230,26,2025-01-03,Webcam HD,,99.99$
1231,20,2024-04-29,Écran 4K,3.0,850.99$
1232,36,2023-07-21,Laptop Pro,1.0,1200.50$
1233,83,2025-04-23,Laptop Pro,3.0,1200.50$
1234,82,2024-07-18,Clavier Mécanique,1.0,150.25$
1235,3,2025-06-10,Clavier Mécanique,2.0,150.25$
1236,6,2024-07-07,Souris Gamer,1.0,75.00$
1237,60,2024-03-14,Laptop Pro,2.0,1200.50$
1238,30,2024-02-14,Clavier Mécanique,2.0,150.25$
1239,71,2023-12-04,Clavier Mécanique,2.0,150.25$
1240,59,2024-05-08,Clavier Mécanique,,150.25$
1241,27,2024-07-02,Souris Gamer,1.0,75.00$
1242,40,2024-04-10,Souris Gamer,1.0,75.00$
1243,65,2023-12-26,Écran 4K,1.0,850.99$
1244,100,2024-08-15,Souris Gamer,1.0,75.00$
1245,31,2024-09-22,Webcam HD,1.0,99.99$
1246,12,2023-10-05,Écran 4K,1.0,850.99$
1247,46,2023-08-06,Souris Gamer,1.0,75.00$
1248,38,2024-08-03,Laptop Pro,1.0,1200.50$
1249,74,2023-07-06,Écran 4K,2.0,850.99$
1250,42,2024-09-04,Souris Gamer,1.0,75.00$
1251,23,2025-06-15,Clavier Mécanique,2.0,150.25$
1252,51,2024-10-25,Laptop Pro,3.0,1200.50$
1253,43,2024-03-22,Écran 4K,,850.99$
1254,14,2024-05-01,Clavier Mécanique,1.0,150.25$
1255,18,2025-01-07,Souris Gamer,1.0,75.00$
1256,98,2024-06-29,Clavier Mécanique,1.0,150.25$
1257,91,2025-05-28,Laptop Pro,1.0,1200.50$
1258,20,2023-09-26,Clavier Mécanique,3.0,150.25$
1259,77,2025-05-08,Clavier Mécanique,1.0,150.25$
1260,78,2023-09-21,Écran 4K,1.0,850.99$
1261,39,2023-11-12,Souris Gamer,1.0,75.00$
1262,39,2023-11-26,Laptop Pro,2.0,1200.50$
1263,89,2023-12-17,Laptop Pro,2.0,1200.50$
1264,33,2024-10-10,Écran 4K,1.0,850.99$
1265,40,2025-01-20,Clavier Mécanique,1.0,150.25$
1266,88,2023-08-15,Clavier Mécanique,3.0,150.25$
1267,95,2025-02-23,Laptop Pro,2.0,1200.50$
1268,77,2023-11-16,Laptop Pro,2.0,1200.50$
1269,73,2023-12-18,Écran 4K,1.0,850.99$
1270,37,2023-08-01,Clavier Mécanique,1.0,150.25$
1271,1,2024-05-14,Laptop Pro,2.0,1200.50$
1272,27,2024-09-02,Souris Gamer,,75.00$
1273,45,2024-02-23,Webcam HD,1.0,99.99$
1274,92,2023-10-19,Webcam HD,1.0,99.99$
1275,79,2023-09-09,Souris Gamer,1.0,75.00$
1276,75,2024-02-20,Laptop Pro,1.0,1200.50$
1277,65,2024-06-30,Laptop Pro,1.0,1200.50$
1278,93,2024-08-20,Écran 4K,2.0,850.99$
1279,37,2023-10-22,Laptop Pro,3.0,1200.50$
1280,16,2024-02-29,Laptop Pro,1.0,1200.50$
1281,12,2024-12-25,Clavier Mécanique,2.0,150.25$
1282,22,2025-05-08,Souris Gamer,1.0,75.00$
1283,16,2024-01-17,Clavier Mécanique,1.0,150.25$
1284,98,2024-02-11,Clavier Mécanique,1.0,150.25$
1285,92,2024-11-11,Laptop Pro,1.0,1200.50$
1286,88,2024-03-29,Clavier Mécanique,2.0,150.25$
1287,12,2023-08-05,Clavier Mécanique,,150.25$
1288,46,2023-12-10,Souris Gamer,1.0,75.00$
1289,43,2024-06-11,Webcam HD,,99.99$
1290,69,2025-04-16,Laptop Pro,3.0,1200.50$
1291,60,2024-12-12,Souris Gamer,1.0,75.00$
1292,72,2024-12-21,Webcam HD,1.0,99.99$
1293,3,2024-10-14,Écran 4K,1.0,850.99$
1294,23,2024-07-27,Laptop Pro,2.0,1200.50$
1295,41,2024-10-15,Souris Gamer,1.0,75.00$
1296,13,2024-08-21,Laptop Pro,1.0,1200.50$
1297,22,2024-08-11,Laptop Pro,2.0,1200.50$
1298,12,2024-01-11,Souris Gamer,3.0,75.00$
1299,43,2024-12-22,Souris Gamer,,75.00$
1300,33,2023-08-09,Souris Gamer,1.0,75.00$
1301,16,2024-12-19,Écran 4K,1.0,850.99$
1302,50,2024-05-22,Écran 4K,1.0,850.99$
1303,1,2023-07-06,Webcam HD,2.0,99.99$
1304,8,2024-12-14,Clavier Mécanique,1.0,150.25$
1305,78,2025-01-05,Webcam HD,1.0,99.99$
1306,83,2023-09-20,Écran 4K,1.0,850.99$
1307,8,2025-01-16,Écran 4K,3.0,850.99$
1308,28,2023-09-03,Laptop Pro,1.0,1200.50$
1309,5,2024-03-16,Laptop Pro,,1200.50$
1310,10,2024-05-20,Webcam HD,2.0,99.99$
1311,35,2024-08-18,Souris Gamer,2.0,75.00$
1312,83,2025-04-18,Laptop Pro,1.0,1200.50$
1313,8,2025-02-06,Souris Gamer,3.0,75.00$
1314,82,2025-03-07,Laptop Pro,2.0,1200.50$
1315,96,2025-06-14,Souris Gamer,,75.00$
1316,72,2024-09-13,Écran 4K,1.0,850.99$
1317,26,2024-08-12,Webcam HD,2.0,99.99$
1318,77,2023-08-21,Écran 4K,1.0,850.99$
1319,58,2024-11-06,Laptop Pro,1.0,1200.50$
1320,19,2024-09-19,Écran 4K,3.0,850.99$
1321,68,2023-12-21,Laptop Pro,,1200.50$
1322,38,2023-10-25,Webcam HD,1.0,99.99$
1323,94,2025-06-23,Écran 4K,1.0,850.99$
1324,95,2024-06-25,Webcam HD,1.0,99.99$
1325,59,2024-07-20,Écran 4K,1.0,850.99$
1326,48,2024-04-26,Clavier Mécanique,1.0,150.25$
1327,67,2024-07-30,Laptop Pro,1.0,1200.50$
1328,46,2024-12-20,Webcam HD,2.0,99.99$
1329,66,2024-05-22,Souris Gamer,1.0,75.00$
1330,30,2025-01-17,Webcam HD,3.0,99.99$
1331,94,2024-02-26,Clavier Mécanique,1.0,150.25$
1332,73,2024-08-29,Écran 4K,1.0,850.99$
1333,32,2025-05-24,Souris Gamer,1.0,75.00$
1334,2,2024-04-05,Laptop Pro,1.0,1200.50$
1335,95,2025-06-22,Souris Gamer,1.0,75.00$
1336,27,2025-03-28,Écran 4K,1.0,850.99$
1337,90,2024-08-19,Laptop Pro,1.0,1200.50$
1338,88,2023-10-09,Écran 4K,1.0,850.99$
1339,36,2025-02-10,Écran 4K,1.0,850.99$
1340,17,2024-02-25,Clavier Mécanique,2.0,150.25$
1341,6,2025-03-21,Webcam HD,3.0,99.99$
1342,79,2025-04-15,Laptop Pro,1.0,1200.50$
1343,28,2025-02-10,Souris Gamer,1.0,75.00$
1344,38,2024-11-07,Écran 4K,1.0,850.99$
1345,40,2024-12-24,Clavier Mécanique,1.0,150.25$
1346,62,2024-03-21,Webcam HD,1.0,99.99$
1347,89,2025-05-30,Souris Gamer,1.0,75.00$
1348,16,2024-03-04,Écran 4K,1.0,850.99$
1349,30,2025-02-10,Webcam HD,2.0,99.99$
1350,11,2024-08-16,Clavier Mécanique,1.0,150.25$
1351,8,2023-09-22,Clavier Mécanique,,150.25$
1352,32,2024-03-02,Webcam HD,2.0,99.99$
1353,57,2024-03-07,Écran 4K,1.0,850.99$
1354,76,2024-06-20,Laptop Pro,3.0,1200.50$
1355,19,2024-01-24,Webcam HD,2.0,99.99$
1356,8,2025-05-22,Souris Gamer,1.0,75.00$
1357,10,2023-12-28,Souris Gamer,3.0,75.00$
1358,21,2023-07-10,Webcam HD,2.0,99.99$
1359,16,2024-01-06,Webcam HD,2.0,99.99$
1360,35,2025-03-29,Webcam HD,1.0,99.99$
1361,5,2024-04-26,Clavier Mécanique,1.0,150.25$
1362,64,2024-01-21,Souris Gamer,3.0,75.00$
1363,5,2024-12-31,Clavier Mécanique,1.0,150.25$
1364,67,2024-03-08,Clavier Mécanique,1.0,150.25$
1365,74,2024-10-13,Webcam HD,1.0,99.99$
1366,16,2024-05-09,Webcam HD,3.0,99.99$
1367,6,2024-08-21,Souris Gamer,1.0,75.00$
1368,40,2024-02-10,Laptop Pro,2.0,1200.50$
1369,18,2023-11-23,Clavier Mécanique,1.0,150.25$
1370,61,2024-10-13,Écran 4K,1.0,850.99$
1371,77,2024-02-20,Souris Gamer,2.0,75.00$
1372,14,2024-04-23,Laptop Pro,1.0,1200.50$
1373,31,2024-03-22,Clavier Mécanique,,150.25$
1374,83,2025-04-20,Laptop Pro,1.0,1200.50$
1375,3,2023-11-25,Webcam HD,1.0,99.99$
1376,26,2023-10-04,Clavier Mécanique,2.0,150.25$
1377,52,2023-10-05,Clavier Mécanique,1.0,150.25$
1378,13,2025-03-27,Webcam HD,1.0,99.99$
1379,92,2023-11-10,Clavier Mécanique,1.0,150.25$
1380,70,2024-01-24,Souris Gamer,1.0,75.00$
1381,21,2025-02-08,Webcam HD,1.0,99.99$
1382,74,2025-03-25,Laptop Pro,1.0,1200.50$
1383,69,2023-11-04,Écran 4K,1.0,850.99$
1384,38,2025-03-05,Clavier Mécanique,1.0,150.25$
1385,36,2023-12-28,Clavier Mécanique,1.0,150.25$
1386,23,2024-11-06,Webcam HD,1.0,99.99$
1387,96,2024-03-18,Souris Gamer,2.0,75.00$
1388,85,2025-01-01,Clavier Mécanique,2.0,150.25$
1389,81,2023-11-28,Laptop Pro,1.0,1200.50$
1390,21,2023-09-18,Webcam HD,,99.99$
1391,28,2023-08-20,Clavier Mécanique,3.0,150.25$
1392,70,2023-07-13,Écran 4K,1.0,850.99$
1393,58,2024-07-10,Clavier Mécanique,1.0,150.25$
1394,71,2024-06-20,Laptop Pro,1.0,1200.50$
1395,1,2024-04-24,Clavier Mécanique,1.0,150.25$
1396,70,2024-06-20,Laptop Pro,1.0,1200.50$
1397,93,2024-02-23,Clavier Mécanique,,150.25$
1398,99,2024-12-14,Clavier Mécanique,1.0,150.25$
1399,75,2024-04-05,Souris Gamer,1.0,75.00$
1400,56,2024-07-06,Écran 4K,2.0,850.99$
1401,20,2024-02-25,Webcam HD,2.0,99.99$
1402,39,2025-03-22,Webcam HD,2.0,99.99$
1403,35,2024-05-14,Webcam HD,2.0,99.99$
1404,82,2025-01-22,Webcam HD,2.0,99.99$
1405,51,2023-08-22,Webcam HD,1.0,99.99$
1406,68,2024-02-07,Souris Gamer,1.0,75.00$
1407,43,2024-06-19,Laptop Pro,1.0,1200.50$
1408,41,2024-12-18,Clavier Mécanique,2.0,150.25$
1409,52,2024-01-02,Écran 4K,1.0,850.99$
1410,64,2023-12-05,Webcam HD,1.0,99.99$
1411,62,2024-11-11,Écran 4K,2.0,850.99$
1412,39,2023-09-14,Écran 4K,2.0,850.99$
1413,85,2023-07-14,Écran 4K,2.0,850.99$
1414,44,2025-04-25,Écran 4K,,850.99$
1415,68,2025-01-24,Écran 4K,1.0,850.99$
1416,36,2023-09-18,Webcam HD,3.0,99.99$
1417,15,2024-12-07,Souris Gamer,1.0,75.00$
1418,30,2024-01-15,Souris Gamer,1.0,75.00$
1419,85,2024-06-08,Clavier Mécanique,2.0,150.25$
1420,44,2025-05-23,Webcam HD,2.0,99.99$
1421,83,2024-09-19,Écran 4K,1.0,850.99$
1422,64,2024-01-09,Écran 4K,,850.99$
1423,74,2024-10-18,Laptop Pro,1.0,1200.50$
1424,48,2023-11-19,Écran 4K,1.0,850.99$
1425,24,2023-08-02,Laptop Pro,1.0,1200.50$
1426,19,2024-04-29,Clavier Mécanique,1.0,150.25$
1427,17,2023-07-06,Webcam HD,1.0,99.99$
1428,11,2024-11-14,Écran 4K,2.0,850.99$
1429,14,2025-04-23,Clavier Mécanique,1.0,150.25$
1430,46,2024-05-18,Webcam HD,1.0,99.99$
1431,32,2025-05-17,Laptop Pro,2.0,1200.50$
1432,12,2024-04-26,Webcam HD,,99.99$
1433,18,2023-10-11,Webcam HD,1.0,99.99$
1434,94,2025-05-24,Écran 4K,2.0,850.99$
1435,91,2025-04-26,Clavier Mécanique,2.0,150.25$
1436,31,2024-10-09,Webcam HD,1.0,99.99$
1437,80,2025-02-10,Laptop Pro,,1200.50$
1438,74,2025-03-29,Clavier Mécanique,1.0,150.25$
1439,2,2024-10-06,Webcam HD,1.0,99.99$
1440,50,2023-07-13,Clavier Mécanique,1.0,150.25$
1441,84,2025-04-30,Clavier Mécanique,3.0,150.25$
1442,28,2025-05-21,Clavier Mécanique,1.0,150.25$
1443,92,2023-11-06,Clavier Mécanique,1.0,150.25$
1444,52,2023-07-12,Laptop Pro,1.0,1200.50$
1445,62,2024-10-03,Laptop Pro,1.0,1200.50$
1446,81,2024-10-29,Souris Gamer,1.0,75.00$
1447,95,2024-09-08,Écran 4K,1.0,850.99$
1448,86,2023-10-12,Laptop Pro,,1200.50$
1449,90,2024-04-26,Écran 4K,3.0,850.99$
1450,63,2024-01-05,Clavier Mécanique,2.0,150.25$
1451,70,2023-12-28,Webcam HD,,99.99$
1452,70,2024-03-15,Laptop Pro,3.0,1200.50$
1453,5,2024-01-30,Souris Gamer,1.0,75.00$
1454,84,2023-08-28,Clavier Mécanique,1.0,150.25$
1455,81,2025-03-19,Souris Gamer,2.0,75.00$
1456,11,2025-06-12,Webcam HD,2.0,99.99$
1457,26,2024-07-07,Laptop Pro,1.0,1200.50$
1458,92,2025-06-08,Webcam HD,1.0,99.99$
1459,98,2025-01-15,Souris Gamer,1.0,75.00$
1460,50,2024-11-22,Souris Gamer,2.0,75.00$
1461,85,2024-04-14,Laptop Pro,,1200.50$
1462,26,2023-11-27,Clavier Mécanique,1.0,150.25$
1463,26,2025-06-21,Clavier Mécanique,1.0,150.25$
1464,77,2025-06-26,Écran 4K,1.0,850.99$
1465,33,2023-09-03,Laptop Pro,2.0,1200.50$
1466,91,2025-04-22,Écran 4K,1.0,850.99$
1467,60,2023-09-13,Souris Gamer,,75.00$
1468,35,2025-04-21,Écran 4K,1.0,850.99$
1469,29,2025-06-13,Webcam HD,1.0,99.99$
1470,5,2025-06-04,Laptop Pro,3.0,1200.50$
1471,86,2024-08-18,Laptop Pro,2.0,1200.50$
1472,30,2024-10-25,Webcam HD,1.0,99.99$
1473,14,2024-04-19,Laptop Pro,2.0,1200.50$
1474,78,2023-07-13,Souris Gamer,1.0,75.00$
1475,59,2025-05-29,Clavier Mécanique,1.0,150.25$
1476,98,2024-04-19,Laptop Pro,3.0,1200.50$
1477,61,2023-12-29,Souris Gamer,1.0,75.00$
1478,36,2025-04-05,Souris Gamer,1.0,75.00$
1479,68,2024-08-25,Écran 4K,3.0,850.99$
1480,65,2025-04-03,Webcam HD,1.0,99.99$
